algorithm n comparisons time
quick 100 821 0.000003862
std 100 638 0.000004029
bubble 100 8910 0.00001958
insertion-smart 100 665 0.000005145
insertion-dump 100 2457 0.000005969
selection 100 4950 0.000008558
quick 100 1055 0.000004207
std 100 646 0.000003963
bubble 100 7623 0.00001716
insertion-smart 100 665 0.000005078
insertion-dump 100 2452 0.000005942
selection 100 4950 0.000008331
quick 100 896 0.000004064
std 100 644 0.000003878
bubble 100 8910 0.000019785
insertion-smart 100 665 0.000005255
insertion-dump 100 2564 0.000006128
selection 100 4950 0.000009
quick 100 966 0.000004033
std 100 630 0.000003979
bubble 1000 921078 0.001673804
insertion-smart 1000 9966 0.000091818
insertion-dump 1000 248036 0.00055072
selection 1000 499500 0.000612723
quick 1000 13424 0.000058713
std 1000 9565 0.000060197
bubble 1000 960039 0.001588077
insertion-smart 1000 9966 0.000096868
insertion-dump 1000 254642 0.000559354
selection 1000 499500 0.000612483
quick 1000 15266 0.000058712
std 1000 9616 0.000054244
bubble 1000 955044 0.001712149
insertion-smart 1000 9966 0.000093411
insertion-dump 1000 255405 0.000560874
selection 1000 499500 0.000614174
quick 1000 17013 0.000060165
std 1000 9711 0.000058643
bubble 1000 939060 0.001635916
insertion-smart 1000 9966 0.000096768
insertion-dump 1000 249269 0.0005587
selection 1000 499500 0.000596064
quick 1000 13944 0.00005491
std 1000 9682 0.000053176
bubble 1000 985014 0.001676489
insertion-smart 1000 9966 0.00009611
insertion-dump 1000 252078 0.000538582
selection 1000 499500 0.000630782
quick 1000 16888 0.000056511
std 1000 9710 0.000053541
bubble 1000 970029 0.001626915
insertion-smart 1000 9966 0.000093488
insertion-dump 1000 247752 0.000604167
selection 1000 499500 0.00060045
quick 1000 14588 0.000054873
std 1000 9712 0.000053469
bubble 1000 969030 0.001592458
insertion-smart 1000 9966 0.000136
insertion-dump 1000 253845 0.001000511
selection 1000 499500 0.000883596
quick 1000 16494 0.000112725
std 1000 9638 0.000109982
bubble 1000 942057 0.002020599
insertion-smart 1000 9966 0.000099217
insertion-dump 1000 258130 0.000583358
selection 1000 499500 0.000635342
quick 1000 14884 0.000059147
std 1000 9637 0.000055974
bubble 1000 952047 0.001647521
insertion-smart 1000 9966 0.000096923
insertion-dump 1000 243632 0.000550336
selection 1000 499500 0.000631629
quick 1000 15151 0.00006004
std 1000 9726 0.00005625
bubble 1000 945054 0.001657305
insertion-smart 1000 9966 0.00012553
insertion-dump 1000 251231 0.000707064
selection 1000 499500 0.000708712
quick 1000 14993 0.000059248
std 1000 9691 0.000058658
bubble 10000 98470152 0.229939469
insertion-smart 10000 133602 0.006375778
insertion-dump 10000 24840899 0.060377645
selection 10000 49995000 0.070094926
quick 10000 216502 0.000741243
std 10000 128305 0.000763494
bubble 10000 99150084 0.22652373
insertion-smart 10000 133602 0.006061888
insertion-dump 10000 24879960 0.060167626
selection 10000 49995000 0.071156468
quick 10000 217438 0.000777356
std 10000 128032 0.0007417
bubble 10000 98800119 0.221688235
insertion-smart 10000 133602 0.006446275
insertion-dump 10000 25137653 0.061713399
selection 10000 49995000 0.0702474
quick 10000 225437 0.000738971
std 10000 128017 0.000726226
bubble 10000 97520247 0.217418913
insertion-smart 10000 133602 0.005964607
insertion-dump 10000 24778726 0.06012938
selection 10000 49995000 0.069546105
quick 10000 226984 0.000750006
std 10000 128205 0.000724533
bubble 10000 99160083 0.222308652
insertion-smart 10000 133602 0.006099471
insertion-dump 10000 24939139 0.058792135
selection 10000 49995000 0.070795269
quick 10000 208556 0.000789722
std 10000 128749 0.000800747
bubble 10000 98460153 0.220863118
insertion-smart 10000 133602 0.006475391
insertion-dump 10000 25019188 0.059759033
selection 10000 49995000 0.071603243
quick 10000 205560 0.000746401
std 10000 128382 0.000721719
bubble 10000 99250074 0.218414258
insertion-smart 10000 133602 0.006329857
insertion-dump 10000 25106153 0.059494087
selection 10000 49995000 0.071716345
quick 10000 208756 0.000762407
std 10000 128223 0.000798486
bubble 10000 98240175 0.219248218
insertion-smart 10000 133602 0.00586667
insertion-dump 10000 25066697 0.058408215
selection 10000 49995000 0.071366614
quick 10000 213905 0.000740948
std 10000 128353 0.000711705
bubble 10000 98510148 0.219285256
insertion-smart 10000 133602 0.006045557
insertion-dump 10000 25172393 0.060641166
selection 10000 49995000 0.072911125
quick 10000 201547 0.000858419
std 10000 128113 0.000733442
bubble 10000 99180081 0.214877654
insertion-smart 10000 133602 0.006937362
insertion-dump 10000 24968302 0.060289743
selection 10000 49995000 0.070759325
quick 10000 230612 0.000770711
std 10000 128238 0.000773612
